Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Mwanza,Misungwi,Usagara,"32.9801843,-2.660483927",shallow well,0,0,unknown,insufficient,19073089031WP41_75,good,swn 80,unknown,annually,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.05089855,-2.694918416",shallow well,0,0,unknown,insufficient,19073089041WP02_78,milky,nira/tanira,unknown,annually,RIDEP,RIDEP,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.06420467,-2.717380898",shallow well,0,0,unknown,insufficient,19073089041WP04_80,milky,nira/tanira,unknown,annually,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.07486117,-2.70000387",shallow well,0,0,unknown,enough,19073089041WP06_82,milky,nira/tanira,unknown,annually,HESAW,HESAWA,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.06945273,-2.710507075",shallow well,0,0,unknown,insufficient,19073089041WP08_84,milky,nira/tanira,unknown,annually,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Usagara,"32.97032438,-2.664345023",shallow well,0,0,unknown,enough,19073089031WP35_69,good,nira/tanira,unknown,annually,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Usagara,"32.97023529,-2.652129276",shallow well,0,0,unknown,insufficient,19073089031WP34_68,milky,nira/tanira,unknown,never pay,HESAWA,HESAWA,vwc,pump broken
functional,Mwanza,Misungwi,Usagara,"32.96718825,-2.639319342",shallow well,0,0,unknown,seasonal,19073089031WP33_67,salty,nira/tanira,unknown,never pay,VILLAGE,VILLAG,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.03703397,-2.732457962",borehole,0,0,unknown,insufficient,19073089041WP17_93,good,india mark ii,unknown,annually,MBOMA,MBOMA,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.03604812,-2.73009921",shallow well,0,0,unknown,unknown,19073089041WP21_97,unknown,other,unknown,never pay,MBOMA,MBOMA,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.02950963,-2.741788828",shallow well,0,0,unknown,insufficient,19073089041WP15_91,milky,nira/tanira,unknown,on failure,RIDEP,RIDEP,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.03877183,-2.718958882",shallow well,0,0,unknown,insufficient,19073089041WP14_90,milky,nira/tanira,unknown,never pay,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.03787352,-2.719590525",shallow well,0,0,unknown,enough,19073089041WP13_89,good,nira/tanira,unknown,annually,HAM,HAM,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.0418573,-2.717677968",shallow well,0,0,unknown,insufficient,19073089041WP11_87,good,nira/tanira,unknown,annually,HAM,HAM,vwc,none
functional,Mwanza,Misungwi,Usagara,"32.99118372,-2.654878981",shallow well,0,0,unknown,insufficient,19073089031WP38_72,good,swn 80,unknown,never pay,Desk and chair foundation,DESK,vwc,none
functional,Mwanza,Misungwi,Usagara,"33.19044885,-2.725628314",shallow well,0,0,unknown,insufficient,19073089061WP03_106,good,nira/tanira,unknown,on failure,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Ukiriguru,"33.17336952,-2.656980648",shallow well,0,0,unknown,unknown,19073089071WP02_124,unknown,nira/tanira,unknown,never pay,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Ukiriguru,"33.1597136,-2.617367848",shallow well,0,0,unknown,enough,19073089071WP04_126,good,nira/tanira,unknown,on failure,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Ukiriguru,"33.14784294,-2.65569014",shallow well,0,0,unknown,unknown,19073089071WP05_127,unknown,nira/tanira,unknown,never pay,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Ukiriguru,"33.11072852,-2.681047686",shallow well,0,0,unknown,unknown,19073089071WP10_132,unknown,nira/tanira,unknown,never pay,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Ukiriguru,"33.09519442,-2.691302079",borehole,0,0,unknown,enough,19073089071WP11_133,good,afridev,unknown,on failure,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Ukiriguru,"33.14693383,-2.655264943",shallow well,0,0,unknown,unknown,19073089071WP06_128,unknown,nira/tanira,unknown,never pay,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Ukiriguru,"33.12335244,-2.663984073",shallow well,0,0,unknown,insufficient,19073089071WP07_129,good,nira/tanira,unknown,on failure,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Ukiriguru,"33.11582082,-2.678647777",shallow well,0,0,unknown,unknown,19073089071WP08_130,unknown,nira/tanira,unknown,never pay,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Ukiriguru,"33.11391333,-2.702409825",shallow well,0,0,unknown,seasonal,19073089061WP18_121,good,nira/tanira,unknown,on failure,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Ukiriguru,"33.17786059,-2.68762264",shallow well,0,0,unknown,insufficient,19073089061WP13_116,good,nira/tanira,unknown,annually,HESAWA,HESAWA,vwc,none
functional,Mwanza,Misungwi,Ukiriguru,"33.16375366,-2.69452985",shallow well,0,0,unknown,unknown,19073089061WP12_115,unknown,nira/tanira,unknown,never pay,,,vwc,tap broken
functional,Mwanza,Misungwi,Ukiriguru,"33.15944009,-2.694881296",shallow well,0,0,unknown,unknown,19073089061WP11_114,unknown,nira/tanira,unknown,never pay,HESAWA,HESAWA,vwc,tap broken
functional,Mwanza,Misungwi,Ukiriguru,"33.16859051,-2.694117686",shallow well,0,0,unknown,enough,19073089061WP09_112,good,nira/tanira,unknown,never pay,HESAWA,HESAWA,vwc,none
