Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Ruvuma,Songea Rural,Wino,"35.29779508,-9.763990257",river/lake,8000,0,1997,enough,10023055021WP43,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.30005115,-9.764923918",river/lake,8000,0,1997,enough,10023055021WP44,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.30427167,-9.766219788",river/lake,8000,1000,1976,enough,10023055021WP45,good,submersible,unknown,annually,Unicef,Unicef,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.30586743,-9.766139915",river/lake,8000,0,1976,enough,10023055021WP46,good,submersible,unknown,annually,Unicef,Unicef,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.30544941,-9.766087508",river/lake,8000,0,1997,enough,10023055021WP47,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.3087515,-9.76865843",river/lake,8000,0,1976,enough,10023055021WP50,good,submersible,unknown,annually,Unicef,Unicef,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.3086486,-9.770432694",river/lake,8000,0,1976,enough,10023055021WP51,good,submersible,unknown,annually,Unicef,Unicef,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.30751192,-9.771436664",river/lake,8000,0,1997,enough,10023055021WP52,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.30673995,-9.772177647",river/lake,8000,0,1997,enough,10023055021WP53,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.3036478,-9.762126316",river/lake,8000,0,1997,enough,10023055021WP55,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.30410962,-9.761435379",river/lake,8000,0,1997,enough,10023055021WP56,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.30533011,-9.760485926",river/lake,8000,0,1997,enough,10023055021WP57,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.30301303,-9.761178742",river/lake,8000,0,1997,enough,10023055021WP58,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.30200705,-9.759722412",river/lake,8000,0,1997,enough,10023055021WP60,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.30086342,-9.759927931",river/lake,8000,0,1997,enough,10023055021WP61,good,submersible,unknown,annually,Mission,Mission,vwc,none
functional,Ruvuma,Songea Rural,Wino,"35.29993975,-9.760278503",river/lake,8000,0,1997,enough,10023055021WP62,good,submersible,unknown,annually,Mission,Mission,vwc,none
