Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Simiyu,Itilima,Tindabuligi,"34.32436815,-3.146179087",shallow well,0,0,unknown,insufficient,1706308220WP269,good,nira/tanira,unknown,never pay,RWSSP,WEDECO,wug,none
functional,Simiyu,Itilima,Tindabuligi,"34.32449666,-3.150698488",shallow well,0,0,unknown,insufficient,1706308220WP268,good,nira/tanira,unknown,per bucket,RWSSP,GEOTAN,wug,none
functional,Simiyu,Itilima,Tindabuligi,"34.32269424,-3.153355011",shallow well,0,0,unknown,insufficient,1706308220WP266,good,nira/tanira,unknown,per bucket,RWSSP,WEDECO,wug,none
functional,Simiyu,Meatu,Tindabuligi,"34.31616395,-3.141881465",shallow well,0,0,unknown,insufficient,1706308220WP270,good,nira/tanira,unknown,never pay,RWSSP,WEDECO,wug,none
functional,Simiyu,Maswa,Tindabuligi,"34.38181352,-3.127452511",shallow well,0,0,unknown,enough,1706308209WP263,salty,nira/tanira,unknown,never pay,RWSSP,WEDECO,wug,none
functional,Simiyu,Singida Urban,Sukuma,"33.79355462,-3.271832466",shallow well,0,0,unknown,enough,170230597WP07_963,good,nira/tanira,unknown,never pay,TASSAF,TASSAF,wug,none
functional,Simiyu,Singida Urban,Sukuma,"33.85853214,-3.249275065",shallow well,0,0,unknown,seasonal,170230597WP09_965,good,nira/tanira,unknown,never pay,Netherlands,DWE,wug,none
functional,Simiyu,Singida Urban,Sukuma,"33.86782407,-3.279516193",shallow well,0,0,unknown,enough,170230597WP10_966,good,nira/tanira,unknown,never pay,Netherlands,DWE,wug,none
functional,Simiyu,Singida,Sukuma,"33.87411299,-3.286728614",shallow well,0,0,unknown,enough,170230597WP11_967,good,nira/tanira,unknown,never pay,Netherlands,DWE,wug,none
functional,Simiyu,Singida Urban,Sukuma,"33.84772199,-3.216136557",dam,0,0,unknown,enough,170230597WP13_969,good,mono,unknown,per bucket,Italy government,Italy government,water authority,none
functional,Simiyu,Singida Urban,Sukuma,"33.84714553,-3.217822795",rainwater harvesting,0,0,unknown,insufficient,170230597WP16_972,good,other,unknown,other,Ardhi instute,Ardhi Instute,wug,none
functional,Simiyu,Singida Urban,Sukuma,"33.828812,-3.237742809",dam,0,0,unknown,enough,170230597WP04_960,good,mono,unknown,monthly,Italy,Government,water authority,none
functional,Simiyu,Itilima,Somanda,"33.993838,-2.773187002",rainwater harvesting,0,0,unknown,seasonal,170130606WP65_1250,good,gravity,unknown,never pay,DWSP,DWE,parastatal,none
functional,Simiyu,Itilima,Somanda,"33.977859,-2.755710002",shallow well,0,0,unknown,enough,170130606WP56_1241,good,nira/tanira,unknown,monthly,SDG,DWE,wug,none
functional,Simiyu,Itilima,Somanda,"33.9721,-2.758348002",shallow well,0,0,unknown,enough,170130606WP55_1240,salty,nira/tanira,unknown,monthly,SDG,DWR,wug,none
functional,Simiyu,Itilima,Somanda,"33.959781,-2.738541002",shallow well,0,0,unknown,insufficient,170130606WP52_1237,good,nira/tanira,unknown,never pay,DASSIP,DALDO,wug,none
functional,Simiyu,Itilima,Somanda,"33.982406,-2.726046002",shallow well,0,0,unknown,enough,170130606WP49_1234,good,nira/tanira,unknown,monthly,DASSIP,DALDO,wug,none
functional,Simiyu,Itilima,Somanda,"34.037262,-2.745534002",shallow well,0,0,unknown,enough,170130606WP43_1228,good,nira/tanira,unknown,other,WSDP,DWE,wug,none
functional,Simiyu,Itilima,Somanda,"34.054371,-2.766292002",shallow well,0,0,unknown,enough,170130606WP40_1225,good,afridev,unknown,monthly,RWSSP,DWE,wug,none
functional,Simiyu,Itilima,Somanda,"34.059951,-2.765880002",shallow well,0,0,unknown,enough,170130606WP39_1224,good,nira/tanira,unknown,monthly,SDG,DWE,wug,none
functional,Simiyu,Itilima,Somanda,"34.049496,-2.749650002",shallow well,0,0,unknown,enough,170130606WP38_1223,good,afridev,unknown,monthly,WSDP,DWE,wug,none
functional,Simiyu,Itilima,Somanda,"34.046585,-2.736874002",shallow well,0,0,unknown,enough,170130606WP29_1214,good,other handpump,unknown,monthly,RWSSP,DWE,wug,none
functional,Simiyu,Itilima,Somanda,"34.048095,-2.732149002",shallow well,0,0,unknown,enough,170130606WP28_1213,good,nira/tanira,unknown,monthly,WSDP,DWE,wug,none
functional,Simiyu,Itilima,Somanda,"34.002326,-2.762718002",borehole,0,0,unknown,enough,170130606WP64_1249,good,submersible,unknown,monthly,WSDP,SDG,other,none
functional,Simiyu,Itilima,Somanda,"33.970954,-2.767055002",shallow well,0,0,unknown,enough,170130606WP67_1252,good,nira/tanira,unknown,never pay,DWSP,DWE,wug,none
functional,Simiyu,Itilima,Sima,"33.985895,-2.805166002",borehole,0,0,unknown,unknown,1701306021WP26_802,unknown,mono,unknown,unknown,KOICA AND TANZANIA GOVERNMENT,DWE,unknown,none
functional,Simiyu,Itilima,Sima,"33.989878,-2.806934002",borehole,0,0,unknown,unknown,1104D2026WP00_228,unknown,mono,unknown,unknown,KOICA AND TANZANIA GOVERNMENT,DWE,unknown,none
