Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Kigoma,Uvinza,Sunuka,"29.78255382,-5.3487038",spring,300,260,2006,enough,1603302114WP22,good,gravity,unknown,monthly,ISF,DWE,parastatal,none
functional,Kigoma,Uvinza,Sunuka,"29.75061904,-5.416756233",shallow well,0,2000,2012,enough,1603302114WP02,good,nira/tanira,unknown,unknown,Lake Tanganyika,DWE,vwc,none
functional,Kigoma,Uvinza,Sunuka,"29.79035732,-5.341946764",spring,300,400,2006,enough,1603302114WP17,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Sunuka,"29.7860301,-5.340938853",spring,300,300,2006,enough,1603302114WP16,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Sunuka,"29.79137545,-5.340337442",spring,300,750,2006,enough,1603302114WP15,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Sunuka,"29.78954094,-5.338710173",spring,300,700,2006,enough,1603302114WP14,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Sunuka,"29.79213436,-5.330483601",spring,300,555,2006,insufficient,1603302114WP12,good,gravity,unknown,monthly,ISF,DWE,parastatal,none
functional,Kigoma,Uvinza,Sunuka,"29.79139321,-5.328957188",spring,300,128,2006,seasonal,1603302114WP11,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Sunuka,"29.79202303,-5.334035487",spring,300,650,2006,insufficient,1603302114WP13,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Kigoma Municipal-Ujiji,Simbo,"29.76548853,-4.992072263",shallow well,0,250,2007,enough,1603302117WP120,good,nira/tanira,unknown,unknown,UNHCR,DWE,vwc,none
functional,Kigoma,Kigoma Municipal-Ujiji,Simbo,"29.78353772,-4.986519256",river/lake,0,750,1987,insufficient,1603302117WP111,good,gravity,unknown,monthly,NORAD,DWE,parastatal,none
functional,Kigoma,Kigoma Rural,Simbo,"29.73722443,-4.898603243",river/lake,600,230,2009,enough,1603302117WP78,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Kigoma Rural,Simbo,"29.7388655,-4.896820857",river/lake,600,165,2009,enough,1603302117WP76,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Kigoma Rural,Simbo,"29.74002413,-4.894449878",river/lake,600,170,2009,enough,1603302117WP75,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74231267,-4.873969662",river/lake,600,560,2009,enough,1603302117WP31,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Kigoma Rural,Simbo,"29.73883172,-4.898918895",river/lake,600,150,2009,enough,1603302117WP72,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Kigoma Rural,Simbo,"29.73817313,-4.900678816",river/lake,600,160,2009,enough,1603302117WP71,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Kigoma Rural,Simbo,"29.73850521,-4.902129004",borehole,600,285,1992,enough,1603302117WP70,good,afridev,unknown,monthly,TACARE,DWE,vwc,none
functional,Kigoma,Kigoma Rural,Simbo,"29.73975336,-4.898254606",river/lake,600,185,2009,enough,1603302117WP65,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74147879,-4.897653987",borehole,600,450,1992,enough,1603302117WP63,good,afridev,unknown,monthly,TACARE,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74186431,-4.901763098",river/lake,600,240,2009,enough,1603302117WP58,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74274282,-4.899243516",river/lake,600,240,2009,enough,1603302117WP56,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74380013,-4.896226276",river/lake,600,255,2009,enough,1603302117WP55,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74607101,-4.895241834",river/lake,600,233,2009,enough,1603302117WP54,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74521419,-4.898464108",river/lake,600,200,2009,enough,1603302117WP53,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74379584,-4.900982875",river/lake,600,145,2009,enough,1603302117WP52,good,gravity,unknown,monthly,ISF,DWE,parastatal,none
functional,Kigoma,Uvinza,Simbo,"29.74539984,-4.902295508",borehole,600,320,1992,enough,1603302117WP50,good,afridev,unknown,monthly,TACARE,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74528278,-4.900735793",river/lake,600,125,2009,enough,1603302117WP49,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74949944,-4.894081264",river/lake,600,270,2009,enough,1603302117WP47,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.7468679,-4.901883738",river/lake,600,140,2009,enough,1603302117WP44,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74735249,-4.900363762",borehole,600,1500,2005,enough,1603302117WP42,good,afridev,unknown,monthly,TACARE,DWE,parastatal,none
functional,Kigoma,Uvinza,Simbo,"29.74801149,-4.90088683",river/lake,600,1500,2009,enough,1603302117WP40,good,gravity,unknown,monthly,ISF,DWE,parastatal,none
functional,Kigoma,Uvinza,Simbo,"29.74247686,-4.882201568",river/lake,600,240,2009,enough,1603302117WP38,good,gravity,unknown,annually,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.73924542,-4.881187102",river/lake,600,213,2009,enough,1603302117WP36,good,gravity,unknown,monthly,ISF,DWE,parastatal,none
functional,Kigoma,Uvinza,Simbo,"29.73970954,-4.880442886",river/lake,600,655,2009,enough,1603302117WP35,good,gravity,unknown,monthly,ISF,DWE,parastatal,none
functional,Kigoma,Uvinza,Simbo,"29.74162079,-4.877387468",river/lake,600,540,2009,enough,1603302117WP33,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74308059,-4.878958733",river/lake,600,400,2009,enough,1603302117WP32,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.73790632,-4.874730154",river/lake,600,340,2009,enough,1603302117WP30,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.73573745,-4.87243748",river/lake,600,239,2009,enough,1603302117WP29,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.7381631,-4.878307026",river/lake,600,260,2009,enough,1603302117WP27,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.7376045,-4.876487115",river/lake,600,210,2009,enough,1603302117WP26,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.73773638,-4.883072889",river/lake,600,200,2009,enough,1603302117WP17,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.75515898,-4.887272716",river/lake,600,150,2009,seasonal,1603302117WP01,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.75209026,-4.887800521",river/lake,600,120,2009,enough,1603302117WP02,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74335267,-4.887055155",river/lake,600,144,2009,enough,1603302117WP07,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Uvinza,Simbo,"29.74781199,-4.903912784",river/lake,600,190,2009,enough,1603302117WP45,good,gravity,unknown,monthly,ISF,DWE,vwc,none
functional,Kigoma,Kasulu,Shunguliba,"30.25370846,-4.721688701",rainwater harvesting,0,520,2003,enough,1602302234WP04_1032,good,other,unknown,never pay,CRISTAN OUTRICH,DWE,private operator,none
functional,Kigoma,Kasulu,Shunguliba,"30.24630615,-4.71195712",shallow well,500,2140,2005,enough,1602302234WP03_1031,good,nira/tanira,unknown,on failure,DANIDA,DWE,vwc,none
functional,Kigoma,Kasulu,Shunguliba,"30.25219445,-4.713951657",shallow well,500,1250,2005,enough,1602302234WP02_1030,good,nira/tanira,unknown,on failure,DANIDA,DWE,vwc,none
functional,Kigoma,Kasulu,Shunguliba,"30.25924797,-4.72704972",shallow well,500,2750,2005,enough,1602302234WP01_1029,good,nira/tanira,unknown,on failure,DANIDA,DWE,vwc,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.01766643,-4.819126738",river/lake,4000,950,1999,enough,1602302216WP52_572,good,gravity,unknown,annually,RC Church,DWE,water board,none
functional,Kigoma,Kasulu,Rusesa,"30.05371804,-4.897258549",borehole,200,1340,2002,enough,1602302216WP08_528,good,afridev,unknown,monthly,Government of Tanzania,Government,water board,none
functional,Kigoma,Kasulu,Rusesa,"30.05433786,-4.898421891",borehole,200,950,2002,enough,1602302216WP09_529,good,afridev,unknown,monthly,Government of Tanzania,Government,water board,none
functional,Kigoma,Kasulu,Rusesa,"30.03029571,-4.820543787",river/lake,1000,750,1976,enough,1602302216WP15_535,good,gravity,unknown,annually,Government of Tanzania,Government,water board,none
functional,Kigoma,Kasulu,Rusesa,"30.03065594,-4.816417998",river/lake,1000,975,1984,enough,1602302216WP16_536,good,gravity,unknown,annually,NORAD,NORAD,water board,none
functional,Kigoma,Kasulu,Rusesa,"30.03462329,-4.823001798",river/lake,1000,1250,1984,enough,1602302216WP17_537,good,gravity,unknown,annually,NORAD,NORAD,water board,none
functional,Kigoma,Kasulu,Rusesa,"30.03403999,-4.824361475",river/lake,1000,250,2011,enough,1602302216WP18_538,good,gravity,unknown,annually,FPCT,DWE,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.03194083,-4.823584873",river/lake,1000,1400,1984,enough,1602302216WP19_539,good,gravity,unknown,annually,NORAD,NORAD,water board,none
functional,Kigoma,Kasulu,Rusesa,"30.05748867,-4.898597231",borehole,200,2450,2002,enough,1602302216WP01_521,good,afridev,unknown,monthly,Government of Tanzania,TCRS,water board,none
functional,Kigoma,Kasulu,Rusesa,"30.05007005,-4.899501335",borehole,200,890,2002,enough,1602302216WP07_527,good,afridev,unknown,monthly,Government of Tanzania,Government,water board,none
functional,Kigoma,Kasulu,Rusesa,"30.05642689,-4.892380015",borehole,200,1740,2010,enough,1602302216WP04_524,good,india mark ii,unknown,monthly,TASAF,TASAF,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.02333603,-4.827339749",river/lake,1000,850,2005,enough,1602302216WP23_543,good,gravity,unknown,annually,Villagers,DWE,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.02632863,-4.831867826",river/lake,1000,950,1984,enough,1602302216WP24_544,good,gravity,unknown,annually,NORAD,NORAD,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.02574316,-4.829589474",river/lake,1000,240,1984,enough,1602302216WP25_545,good,gravity,unknown,annually,NORAD,NORAD,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.03076618,-4.831456639",river/lake,1000,750,1984,enough,1602302216WP28_548,good,gravity,unknown,annually,NORAD,NORAD,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.03179806,-4.835643423",river/lake,1000,470,2005,enough,1602302216WP30_550,good,gravity,unknown,annually,Villagers,DWE,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.02248598,-4.821664113",river/lake,1000,578,1984,enough,1602302216WP33_553,good,gravity,unknown,annually,NORAD,NORAD,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.01928989,-4.825265105",river/lake,1000,750,2005,enough,1602302216WP34_554,good,gravity,unknown,annually,Villagers,DWE,water board,none
functional,Kigoma,Kasulu,Rusesa,"30.05873066,-4.902632989",other,200,1,unknown,unknown,1602302216WP00_520,unknown,other,unknown,monthly,,,unknown,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.01992739,-4.820603201",river/lake,1000,250,1976,enough,1602302216WP36_556,good,gravity,unknown,annually,Government of Tanzania,Government,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.0165965,-4.817828604",river/lake,750,210,2005,enough,1602302216WP38_558,good,gravity,unknown,monthly,Muslims,DWE,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.01722512,-4.822313946",river/lake,1000,230,1984,enough,1602302216WP40_560,good,gravity,unknown,annually,NORAD,NORAD,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.01632768,-4.823495815",river/lake,1000,450,1976,enough,1602302216WP41_561,good,gravity,unknown,annually,Government of Tanzania,Government,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.01342703,-4.819584033",river/lake,1000,421,1984,enough,1602302216WP42_562,good,gravity,unknown,annually,NORAD,NORAD,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.01197937,-4.81634548",river/lake,1000,650,1999,enough,1602302216WP45_565,good,gravity,unknown,annually,Villagers,DWE,water board,none
functional,Kigoma,Kasulu Township Authority,Rusesa,"30.0130696,-4.81422893",river/lake,1000,470,1999,enough,1602302216WP46_566,good,gravity,unknown,annually,Villagers,DWE,water board,none
