Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.56621732,-8.842342982",river/lake,0,560,1978,enough,1104301805WP91_263,good,gravity,unknown,never pay,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.55813941,-8.856131512",river/lake,0,123,1978,enough,1104301805WP88_260,good,gravity,unknown,on failure,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.63776104,-8.851029346",river/lake,500,85,1978,enough,1104301805WP87_259,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.64136415,-8.845822714",river/lake,500,49,1978,enough,1104301805WP86_258,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.64262739,-8.848359778",river/lake,500,86,1978,enough,1104301805WP85_257,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.62795055,-8.848794831",river/lake,500,150,1978,enough,1104301805WP84_256,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.63083541,-8.850747039",river/lake,500,85,2009,enough,1104301805WP83_255,good,gravity,unknown,monthly,Wananchi,wananchi,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.63377625,-8.850109452",river/lake,500,75,1978,enough,1104301805WP82_254,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.63272512,-8.853350638",river/lake,500,650,1978,enough,1104301805WP80_252,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.63208511,-8.852202067",river/lake,500,76,1978,enough,1104301805WP79_251,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.62690973,-8.854128728",river/lake,500,63,1978,enough,1104301805WP76_248,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.62276731,-8.855551176",river/lake,500,1,1978,enough,1104301805WP75_247,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.61895661,-8.857700956",borehole,500,65,1978,enough,1104301805WP74_246,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.61287563,-8.861111732",river/lake,500,75,1978,enough,1104301805WP72_244,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.60236151,-8.860577224",river/lake,500,75,1978,enough,1104301805WP71_243,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.5944116,-8.857916759",river/lake,500,75,1978,enough,1104301805WP70_242,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.62847718,-8.851782322",river/lake,500,65,1978,enough,1104301805WP69_241,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.71556309,-8.837466309",river/lake,500,48,1978,enough,1104301805WP68_240,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.72168566,-8.841640926",river/lake,4000,530,1978,enough,1104301805WP67_239,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Makambako Township Authority,Wanging'ombe,"34.72032189,-8.840878237",river/lake,500,85,1978,enough,1104301805WP62_234,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.72085714,-8.839757253",river/lake,500,108,1978,enough,1104301805WP61_233,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.72817067,-8.839721929",river/lake,500,42,1978,enough,1104301805WP59_231,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.72441934,-8.84041572",river/lake,500,48,1978,enough,1104301805WP56_228,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.72275433,-8.822133795",river/lake,500,42,1978,enough,1104301805WP55_227,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.72771419,-8.831934137",river/lake,500,53,1978,enough,1104301805WP53_225,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.72491502,-8.838115854",river/lake,500,108,1978,enough,1104301805WP52_224,good,gravity,unknown,monthly,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.76810842,-8.799689986",river/lake,0,89,1978,enough,1104301805WP51_223,good,gravity,unknown,on failure,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.76813785,-8.796266463",river/lake,0,85,unknown,enough,1104301805WP50_222,good,gravity,unknown,on failure,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.76911441,-8.793878704",river/lake,0,75,1978,enough,1104301805WP49_221,good,gravity,unknown,on failure,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.75477172,-8.814374852",river/lake,0,65,1978,enough,1104301805WP47_219,good,gravity,unknown,on failure,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.75678637,-8.818907393",river/lake,0,60,1978,enough,1104301805WP45_217,good,gravity,unknown,on failure,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.75419243,-8.806898822",river/lake,0,85,1978,insufficient,1104301805WP43_215,good,gravity,unknown,on failure,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.75331998,-8.805010217",river/lake,0,65,1978,enough,1104301805WP42_214,good,gravity,unknown,on failure,UNICEF,DWE,wua,none
functional,Njombe,Makambako Township Authority,Wanging'ombe,"34.76039832,-8.808094832",river/lake,0,54,1978,enough,1104301805WP39_211,good,gravity,unknown,on failure,UNICEF,DWE,wua,none
functional,Njombe,Wanging'ombe,Wanging'ombe,"34.67250561,-8.836218503",river/lake,500,78,1987,enough,1104301805WP15_188,good,gravity,unknown,monthly,wananchi,wananchi,wua,none
