Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Iringa,Iringa Rural,Ulanda,"35.57452854,-7.741807195",spring,1000,569,1984,enough,1101301624wp35_841,good,gravity,unknown,monthly,DANIDA,DANID,vwc,tap broken
functional,Iringa,Iringa Rural,Ulanda,"35.57237355,-7.809774154",spring,1000,600,1983,dry,1101301624wp07_813,good,gravity,unknown,monthly,DANIDA,DANID,vwc,none
functional,Iringa,Iringa Rural,Ulanda,"35.56310292,-7.804932845",spring,1000,550,1983,enough,1101301624wp08_814,good,gravity,unknown,monthly,DANIDA,DANID,vwc,none
functional,Iringa,Iringa Rural,Ulanda,"35.580872,-7.804071632",spring,500,550,1983,enough,1101301624wp09_815,good,gravity,unknown,monthly,DANIDA,DANID,vwc,none
functional,Iringa,Iringa Rural,Ulanda,"35.58324245,-7.798439667",spring,1000,1,1983,enough,1101301624wp10_816,good,gravity,unknown,monthly,DANIDA,DANID,vwc,none
functional,Iringa,Iringa Rural,Ulanda,"35.55585421,-7.74608754",spring,1000,331,1984,enough,1101301624wp33_839,good,gravity,unknown,monthly,DANIDA,DANID,vwc,tap broken
functional,Iringa,Iringa Rural,Ulanda,"35.584355,-7.787722912",spring,1000,1,1983,enough,1101301624wp13_819,good,gravity,unknown,monthly,DANIDA,DANID,vwc,none
functional,Iringa,Iringa Rural,Ulanda,"35.57991781,-7.782769677",spring,1000,1,1983,enough,1101301624wp14_820,good,gravity,unknown,monthly,DANIDA,DANID,vwc,none
functional,Iringa,Iringa Rural,Ulanda,"35.57723412,-7.778445895",spring,1000,1,1983,enough,1101301624wp15_821,good,gravity,unknown,monthly,DANIDA,DANID,vwc,tap broken
functional,Iringa,Iringa Rural,Ulanda,"35.49281732,-7.846556961",borehole,0,1,2010,enough,1101301624wp16_822,good,swn 80,unknown,other,Luthe,Luthe,vwc,none
functional,Iringa,Iringa Rural,Ulanda,"35.55283589,-7.86258749",spring,3000,500,1983,enough,1101301624wp17_823,good,gravity,unknown,annually,DANIDA,DANID,vwc,none
functional,Iringa,Iringa Rural,Ulanda,"35.55676592,-7.86182096",spring,3000,650,1983,enough,1101301624wp18_824,good,gravity,unknown,annually,DANIDA,DANID,vwc,none
functional,Iringa,Iringa Rural,Ulanda,"35.58949361,-7.811677358",spring,1000,210,1983,enough,1101301624wp01_807,good,gravity,unknown,monthly,DANIDA,DANID,vwc,none
functional,Iringa,Kilolo,Ukwega,"35.98478819,-7.914389601",borehole,0,400,2008,enough,110773D61003_3,good,swn 80,unknown,never pay,KKKT,KKKT,vwc,none
functional,Iringa,Kilolo,Ukwega,"36.07088617,-7.898558568",borehole,0,100,2006,enough,110773D61005_5,good,india mark ii,unknown,never pay,KKKT,KKKT,vwc,none
functional,Iringa,Kilolo,Ukwega,"36.07604963,-7.885846204",borehole,0,300,2009,enough,110773D61006_6,good,india mark ii,unknown,never pay,TASAF,TASAF,vwc,none
functional,Iringa,Kilolo,Ukwega,"36.08179379,-7.879719661",borehole,0,200,2008,enough,110773D61007_7,good,india mark ii,unknown,never pay,TASAF,TASAF,vwc,none
functional,Iringa,Kilolo,Ukwega,"36.09971812,-7.9342497",spring,0,200,2006,enough,110773D61009_9,good,gravity,unknown,never pay,Roman,Roman,vwc,tap broken
functional,Iringa,Kilolo,Ukwega,"36.0978884,-7.933467881",spring,0,1,2006,enough,110773D61010_11,good,gravity,unknown,never pay,Roman,Roman,vwc,tap broken
functional,Iringa,Kilolo,Ukwega,"36.09773605,-7.931986574",river/lake,0,200,2006,enough,110773D61011_12,good,gravity,unknown,never pay,Roman,Roman,vwc,tap broken
functional,Iringa,Kilolo,Ukwega,"36.12785416,-7.89617554",borehole,1000,600,2008,enough,110773D61018_19,good,swn 80,unknown,monthly,Roman,Roman,vwc,none
functional,Iringa,Kilolo,Ukwega,"36.09750111,-7.928665247",river/lake,0,180,2006,enough,110773D61014_15,good,gravity,unknown,never pay,Roman,Roman,vwc,tap broken
functional,Iringa,Kilolo,Ukwega,"36.09535377,-7.932781903",spring,0,230,2006,enough,110773D61012_13,good,gravity,unknown,never pay,Roman,Roman,vwc,tap broken
functional,Iringa,Kilolo,Ukwega,"36.09213171,-7.932735397",river/lake,0,80,2006,enough,110773D61013_14,good,gravity,unknown,never pay,Roman,Roman,vwc,tap broken
functional,Iringa,Kilolo,Ukumbi,"35.67286343,-8.100028743",spring,500,350,2005,enough,110773D6939_414,good,gravity,unknown,monthly,Government of Tanzania,Gover,vwc,none
functional,Iringa,Kilolo,Ukumbi,"35.73096923,-8.117609682",river/lake,0,450,1995,enough,110773D6924_399,good,gravity,unknown,never pay,Government of Tanzania,Gover,vwc,tap poorly sited
functional,Iringa,Kilolo,Ukumbi,"35.73111232,-8.044502557",borehole,30000,400,2008,enough,110773D6907_382,good,india mark ii,unknown,monthly,IDYDC,IDYDC,vwc,none
functional,Iringa,Kilolo,Ukumbi,"35.73635588,-8.056854249",borehole,0,600,2008,enough,110773D6908_383,good,india mark ii,unknown,unknown,IDYDC,IDYDC,vwc,none
functional,Iringa,Mafinga Township Authority,Ukumbi,"35.66886824,-8.113362546",river/lake,500,100,2005,enough,110773D6947_422,good,gravity,unknown,monthly,Government of Tanzania,Gover,vwc,none
